Shipment ID,Latitude,Longitude,Delivery Timeslot
1,19.0802676,72.850804,09:30:00-12:00:00
2,19.1121104,72.8983546,09:30:00-12:00:00
3,19.0581451,72.8343773,07:00:00-09:30:00
4,19.176505,72.962189,12:00:00-14:30:00
5,19.1489669,72.9316651,09:30:00-12:00:00
6,19.0719625,72.8347505,09:30:00-12:00:00
7,19.119317,72.8626863,07:00:00-09:30:00
8,19.032864,72.8384975,07:00:00-09:30:00
9,19.0563572,72.8480885,09:30:00-12:00:00
10,19.1580355,72.93586,09:30:00-12:00:00
11,19.0729225,72.8271533,09:30:00-12:00:00
12,18.9340553,72.8251844,09:30:00-12:00:00
13,19.1266465,72.8623675,09:30:00-12:00:00
14,18.9168702,72.8179261,09:30:00-12:00:00
15,19.0061164,72.8288361,09:30:00-12:00:00
16,19.1157872,72.9065853,09:30:00-12:00:00
17,19.117864,72.8678007,09:30:00-12:00:00
18,18.9615119,72.8012392,09:30:00-12:00:00
19,19.1055237,72.8977257,07:00:00-09:30:00
21,19.0538215,72.823774,09:30:00-12:00:00
22,19.0158953,72.8374448,09:30:00-12:00:00
23,19.0070794,72.8251896,07:00:00-09:30:00
24,19.1334302,72.9132679,07:00:00-09:30:00
25,19.1355088,72.9083972,07:00:00-09:30:00
26,19.0135319,72.832831,09:30:00-12:00:00
27,18.9954236,72.8218266,07:00:00-09:30:00
28,18.9670056,72.8479262,07:00:00-09:30:00
29,18.9627487,72.8015339,07:00:00-09:30:00
30,19.1217271,72.9391179,09:30:00-12:00:00
31,19.0796575,72.8460627,07:00:00-09:30:00
32,19.1451058,72.9350113,09:30:00-12:00:00
33,18.9525781,72.8274072,09:30:00-12:00:00
34,19.1169937,72.891654,09:30:00-12:00:00
35,19.144887,72.936119,07:00:00-09:30:00
36,19.1584893,72.9473908,09:30:00-12:00:00
37,19.1148142,72.9021181,09:30:00-12:00:00
38,19.05558592,72.83201423,09:30:00-12:00:00
39,19.0078015,72.8339686,07:00:00-09:30:00
40,19.0541566,72.8284091,09:30:00-12:00:00
42,18.9708511,72.835739,09:30:00-12:00:00
43,19.0587,72.8291,07:00:00-09:30:00
44,19.1163776,72.8479064,07:00:00-09:30:00
45,18.9839617,72.8367054,09:30:00-12:00:00
46,19.133649,72.897329,09:30:00-12:00:00
47,19.1176258,72.9327686,07:00:00-09:30:00
49,19.1202729,72.9379362,07:00:00-09:30:00
50,19.1280021,72.8682474,07:00:00-09:30:00
52,19.11011,72.8496466,07:00:00-09:30:00
53,19.1699328,72.9361866,12:00:00-14:30:00
54,19.123245,72.855779,07:00:00-09:30:00
55,18.9571006,72.8076248,09:30:00-12:00:00
56,19.0683937,72.8338003,09:30:00-12:00:00
57,19.1162675,72.9026601,09:30:00-12:00:00
58,19.0790368,72.8943565,07:00:00-09:30:00
59,18.9507986,72.8379268,09:30:00-12:00:00
60,18.9661321,72.8388506,09:30:00-12:00:00
61,19.1086151,72.8896424,07:00:00-09:30:00
62,19.067972,72.8236505,09:30:00-12:00:00
63,19.1213278,72.8977435,09:30:00-12:00:00
64,19.0984543,72.8451715,09:30:00-12:00:00
65,19.1166397,72.9036407,09:30:00-12:00:00
66,19.1718719,72.9620689,09:30:00-12:00:00
67,19.1279466,72.9294411,09:30:00-12:00:00
68,19.1296061,72.9337365,12:00:00-14:30:00
69,19.1142532,72.8505088,09:30:00-12:00:00
70,19.1793329,72.9410737,12:00:00-14:30:00
71,19.1727004,72.9599617,07:00:00-09:30:00
72,19.1772234,72.9658659,12:00:00-14:30:00
73,19.14574,72.933206,07:00:00-09:30:00
74,19.1793711,72.9416254,12:00:00-14:30:00
75,19.1287657,72.8581309,09:30:00-12:00:00
76,19.002052,72.8128226,09:30:00-12:00:00
77,18.9527479,72.8025218,09:30:00-12:00:00
78,18.948274,72.7948228,09:30:00-12:00:00
79,19.1827834,72.9489826,09:30:00-12:00:00
80,19.0246935,72.8356583,09:30:00-12:00:00
81,18.9936241,72.8312227,09:30:00-12:00:00
82,19.1353612,72.9175356,09:30:00-12:00:00
